Name,Formula
Arzrunite,Pb2Cu4(SO4)(OH)4Cl6·2H2O
Asagiite,NiCu4(SO4)2(OH)6(H2O)6
Asbecasite,Ca3TiAs6Be2Si2O20
Asbolane,"Mn4+(O,OH)2·(Co,Ni,Mg,Ca)x(OH)2x·nH2O"
Aschamalmite,Pb6-3xBi2+xS9
Åsgruvanite-(Ce),Ce16Ca5Al(SiO4)6(AsO3)8(CO3)2Cl4F3(OH)2
Ashburtonite,HCu4Pb4Si4O12(HCO3)4(OH)4Cl
Ashcroftine-(Y),K5Na5Y12Si28O70(OH)2(CO3)8(H2O)8
Ashoverite,Zn(OH)2
Asimowite,Fe2SiO4
Asisite,Pb7SiO8Cl2
Åskagenite-(Nd),Mn2+Nd(Al2Fe3+)(Si2O7)(SiO4)O2
Aspedamite,"☐12(Fe3+,Fe2+)3Nb4[Th(Nb,Fe3+)12O42] [(H2O),(OH)]12"
Aspidolite,NaMg3(Si3Al)O10(OH)2
Asselbornite,Pb(UO2)4(BiO)3(AsO4)2(OH)7·4H2O
Astrocyanite-(Ce),Cu2Ce2(UO2)(CO3)5(OH)2·1.5H2O
Astrophyllite,K2NaFe2+7Ti2(Si4O12)2O2(OH)4F
Atacamite,Cu2Cl(OH)3
Atelestite,Bi2O(AsO4)(OH)
Atelisite-(Y),Y4Si3O8(OH)8
Atencioite,Ca2Fe2+3Mg2Be4(PO4)6(OH)4(H2O)6
Athabascaite,Cu5Se4
Atheneite,Pd2(As0.75Hg0.25)
Atlasovite,Cu2+6Fe3+Bi3+O4(SO4)5·KCl
Atokite,Pd3Sn
Attakolite,CaMn2+Al4(HSiO4)(PO4)3(OH)4
Attikaite,Ca3Cu2Al2(AsO4)4(OH)4·2H2O
Aubertite,Cu2+Al(SO4)2Cl(H2O)12·2H2O
Auerbakhite,MnTl2As2S5
Augelite,Al2(PO4)(OH)3
Augite,"(Ca,Mg,Fe)2Si2O6"
Auriacusite,Fe3+Cu2+(AsO4)O
Aurichalcite,"(Zn,Cu)5(CO3)2(OH)6"
Auricupride,Cu3Au
Aurihydrargyrumite,Au6Hg5
Aurivilliusite,Hg1+Hg2+OI
Auropearceite,[Ag9AuS4][Ag6As2S7]
Auropolybasite,[Ag9AuS4][Ag6Sb2S7]
Aurorite,Mn2+Mn4+3O7(H2O)3
Auroselenide,AuSe
Aurostibite,AuSb2
Austinite,CaZn(AsO4)(OH)
Autunite,Ca(UO2)2(PO4)2(H2O)11
Avdoninite,K2Cu5Cl8(OH)4(H2O)2
Averievite,Cu5O2(VO4)2·CuCl2
Avicennite,Tl2O3
Avogadrite,KBF4
Awaruite,Ni3Fe
Axelite,Na14Cu7(AsO4)8F2Cl2
Axinite-(Fe),Ca4Fe2+2Al4[B2Si8O30](OH)2
Axinite-(Mg),Ca4Mg2Al4[B2Si8O30](OH)2
Axinite-(Mn),Ca4Mn2+2Al4[B2Si8O30](OH)2
Azoproite,"Mg2[(Ti,Mg),Fe3+]O2(BO3)"
Azurite,Cu3(CO3)2(OH)2
Babánekite,Cu3(AsO4)2(H2O)8
Babefphite,BaBe(PO4)F
Babingtonite,Ca2Fe2+Fe3+Si5O14(OH)
Babkinite,"Pb2Bi2(S,Se)3"
Babunaite-(Nd),Nd(AsO4)
Bacaferrite,BaCaFe4O8
Backite,Pb2AlTeO6Cl
Badakhshanite-(Y),Y2Mn4Al(Si2B7BeO24)
Badalovite,NaNaMg(MgFe3+)(AsO4)3
Baddeleyite,ZrO2
Badengzhuite,TiP
Bafertisite,Ba2Fe2+4Ti2(Si2O7)2O2(OH)2F2
Baghdadite,Ca6Zr2(Si2O7)2O4
Bahariyaite,KMnO4
Bahianite,Al5Sb5+3O14(OH)2
Baiamareite,Ag4Pb12Fe4Sb20S48
Baileychlore,"(Zn,Fe2+,Al,Mg)6(Si,Al)4O10(OH)8"
Bainbridgeite-(NdCe),Na2Ba2NdCe(CO3)6∙(H2O)3
Bainbridgeite-(YCe),Na2Ba2YCe(CO3)6∙(H2O)3
Bairdite,Pb2Cu2+4Te6+2O10(OH)2(SO4)(H2O)
Bakakinite,Ca2V2O7
Bakhchisaraitsevite,Na2Mg5(PO4)4(H2O)6·H2O
Baksanite,Bi6Te2S3
Balangeroite,Mg21Si8O27(OH)20
Balestraite,KLi2V5+Si4O12
Balićžunićite,Bi2O(SO4)2
Balipholite,LiBaMg2Al3(Si2O6)2(OH)8
Balkanite,Ag5Cu9HgS8
Balliranoite,"(Na,K)6Ca2(Si6Al6O24)Cl2(CO3)"
Balyakinite,Cu2+(Te4+O3)
Bambollaite,"Cu(Se,Te)2"
Bamfordite,Fe3+Mo2O6(OH)3(H2O)
Banalsite,Na2BaAl4Si4O16
Bandylite,CuB(OH)4Cl
Bannermanite,"(Na,K)xV4+xV5+6-xO15 (0.5 < x < 0.9)"
Bannisterite,"(Ca,K,Na)(Mn2+,Fe2+)10(Si,Al)16O38(OH)8·nH2O"
Baotite,"Ba4(Ti,Nb,W)8O16(SiO3)4Cl"
Barahonaite-(Al),"(Ca,Cu,Na,Fe3+,Al)12Al2(AsO4)8(OH,Cl)x·nH2O"
Barahonaite-(Fe),"(Ca,Cu,Na,Fe3+,Al)12Fe3+2(AsO4)8(OH,Cl)x·nH2O"
Bararite,(NH4)2SiF6
Baratovite,KLi3Ca7Ti2(SiO3)12F2
Barberiite,(NH4)BF4
Barbosalite,Fe2+Fe3+2(PO4)2(OH)2
Barentsite,Na7Al(HCO3)2(CO3)2F4
Bariandite,"Al0.6(V5+,V4+)8O20·9H2O"
Barićite,"(Mg,Fe)3(PO4)2(H2O)8"
Barikaite,Ag3Pb10(Sb8As11)S40
Barioferrite,Ba[Fe3+12]O19
Bariolakargiite,BaZrO3
Bario-olgite,"Na(Na,Sr,Ce)2Ba(PO4)2"
